,,,,,,,,,
"COICOP Code list",,,,,,,,,
,,,,,,,,,
"COICOP","item","CoicopType","CoicopTypeDesc","MainGroup","MainName","SecondaryGroup","secondaryGroupName","ThirdGroup","ThirdGroupDEsc"
"01111101","Rice",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112101","White bread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112102","Brown bread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112103","Garlic bread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112104","Whole wheat bread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112105","Other bread loaves",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112201","Bread rolls",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112301","Rusks",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112302","Marie biscuits",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112303","Other biscuits",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112304","Crackers",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01112305","Other baked products",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01113101","Spaghetti",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01113102","Macaroni",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01113103","Other pasta",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01114101","Cakes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01114102","Tarts",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01114103","Other (Vetkoek, Fat cakes)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01115101","Sandwiches",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116101","Mealie meal/Maize flour",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116102","Cake flour",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116103","Self raising meal",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116104","Bread flour",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116105","Sorghum meal/powder",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116106","Corn flour",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116107","Other meal and flour",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116201","Taystee wheat",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116202","Mabella",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116301","Corn flakes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116302","Puffed rice",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116303","Muesli",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116304","Other baked cereals",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116401","Mealie rice",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
